Invoice No,Date,Channel,Product Name,SKU,Type,Size (ml),Quantity,Unit Price (৳),Total (৳),Payment Status,Notes
INV-0111,2026-06-27,Fair3,Blue berry,BluBer,roll-on,3.5,1,120.00,120.00,paid,
INV-0101,2026-06-27,Fair3,Vanila,Vanil,roll-on,3.5,1,150.00,150.00,paid,
INV-0119,2026-06-27,Fair3,Vanila,Vanil,roll-on,3.5,1,150.00,150.00,paid,
INV-0107,2026-06-27,Fair3,LOST Cherry,LostChe,roll-on,3.5,1,120.00,120.00,paid,
INV-0123,2026-06-27,Fair3,Armanis.w.y,ArmWy,roll-on,3.5,1,120.00,120.00,paid,
INV-0103,2026-06-27,Fair3,LOST Cherry,LostChe,roll-on,3.5,1,120.00,120.00,paid,
INV-0115,2026-06-27,Fair3,LOST Cherry,LostChe,roll-on,3.5,1,120.00,120.00,paid,
INV-0096,2026-06-27,Fair3,Miss Dior,MisDio,roll-on,3.5,1,140.00,140.00,paid,
INV-0099,2026-06-27,Fair3,Vanila,Vanil,roll-on,3.5,1,150.00,150.00,paid,
INV-0120,2026-06-27,Fair3,Chocolate,CoCo,roll-on,3.5,1,120.00,120.00,paid,
INV-0110,2026-06-27,Fair3,Fantasy Spray,Fant_2_SP,spray,6,1,300.00,300.00,paid,
INV-0124,2026-06-27,Fair3,Vampire B.,VampB,roll-on,3.5,1,170.00,170.00,paid,
INV-0108,2026-06-27,Fair3,Vampire B.,VampB,roll-on,3.5,1,170.00,170.00,paid,
INV-0118,2026-06-27,Fair3,Blue berry,BluBer,roll-on,3.5,1,120.00,120.00,paid,
INV-0106,2026-06-27,Fair3,LOST Cherry,LostChe,roll-on,3.5,1,120.00,120.00,paid,
INV-0126,2026-06-27,Fair3,Fantasy,Fant,roll-on,3.5,1,110.00,110.00,paid,
INV-0104,2026-06-27,Fair3,Blue berry,BluBer,roll-on,3.5,1,120.00,120.00,paid,
INV-0116,2026-06-27,Fair3,Good Girl,GooGir,roll-on,3.5,1,150.00,150.00,paid,
INV-0102,2026-06-27,Fair3,Blue berry,BluBer,roll-on,3.5,1,120.00,120.00,paid,
INV-0122,2026-06-27,Fair3,Blue berry,BluBer,roll-on,3.5,1,120.00,120.00,paid,
INV-0100,2026-06-27,Fair3,Fantasy,Fant,roll-on,3.5,1,120.00,120.00,paid,
INV-0114,2026-06-27,Fair3,Blue berry Spray,BluBer_SP,spray,6,1,300.00,300.00,paid,
INV-0112,2026-06-27,Fair3,Gucci Flora,GucFla,roll-on,3.5,1,150.00,150.00,paid,
INV-0098,2026-06-27,Fair3,Dior Sauvage,DioSau,roll-on,3.5,1,150.00,150.00,paid,
INV-0095,2026-06-27,Fair3,Ultra male,UltMal,roll-on,3.5,1,120.00,120.00,paid,
INV-0125,2026-06-27,Fair3,Chocolate,CoCo,roll-on,3.5,1,120.00,120.00,paid,
INV-0121,2026-06-27,Fair3,Blue berry Spray,BluBer_SP,spray,6,1,300.00,300.00,paid,
INV-0113,2026-06-27,Fair3,Vanila,Vanil,roll-on,3.5,1,130.00,130.00,paid,
INV-0097,2026-06-27,Fair3,Gucci Flora,GucFla,roll-on,3.5,1,150.00,150.00,paid,
INV-0077,2026-06-27,Fair2,Gucci Flora,GucFla,roll-on,3.5,1,140.00,140.00,paid,
INV-0073,2026-06-27,Fair2,Dior Sauvage,DioSau,roll-on,3.5,1,170.00,170.00,paid,
INV-0085,2026-06-27,Fair3,Good Girl Spray,GooGir_SP,spray,6,1,310.00,310.00,paid,
INV-0079,2026-06-27,Fair2,Fantasy,Fant,roll-on,3.5,1,120.00,120.00,paid,
INV-0069,2026-06-27,Fair2,Vampire B.,VampB,roll-on,3.5,1,160.00,160.00,paid,
INV-0087,2026-06-27,Fair3,LOST Cherry,LostChe,roll-on,3.5,1,120.00,120.00,paid,
INV-0075,2026-06-27,Fair2,Chanel chance,ChaCha,roll-on,3.5,1,150.00,150.00,paid,
INV-0091,2026-06-27,Fair3,Blue berry,BluBer,roll-on,3.5,1,120.00,120.00,paid,
INV-0071,2026-06-27,Fair2,Vampire B. Spray,VampB_SP,spray,15,1,850.00,850.00,paid,
INV-0083,2026-06-27,Fair3,Davidoff Cool Water,DavCoo,roll-on,6,1,250.00,250.00,paid,
INV-0080,2026-06-27,Fair3,Blue berry,BluBer,roll-on,3.5,1,120.00,120.00,paid,
INV-0067,2026-06-27,Fair2,LOST Cherry,LostChe,roll-on,3.5,1,120.00,120.00,paid,
INV-0088,2026-06-27,Fair3,Blue berry,BluBer,roll-on,3.5,1,120.00,120.00,paid,
INV-0078,2026-06-27,Fair2,Vampire B.,VampB,roll-on,15,1,750.00,750.00,paid,
INV-0092,2026-06-27,Fair3,Vampire B.,VampB,roll-on,3.5,1,170.00,170.00,paid,
INV-0076,2026-06-27,Fair2,Vampire B.,VampB,roll-on,3.5,1,170.00,170.00,paid,
INV-0086,2026-06-27,Fair3,LOST Cherry,LostChe,roll-on,3.5,1,120.00,120.00,paid,
INV-0074,2026-06-27,Fair2,Dior Sauvage,DioSau,roll-on,6,1,270.00,270.00,paid,
INV-0094,2026-06-27,Fair3,Vampire B.,VampB,roll-on,3.5,1,170.00,170.00,paid,
INV-0072,2026-06-27,Fair2,kacha beli,KacBel,roll-on,3.5,1,130.00,130.00,paid,
INV-0084,2026-06-27,Fair3,LOST Cherry,LostChe,roll-on,3.5,1,120.00,120.00,paid,
INV-0070,2026-06-27,Fair2,Vampire B. Spray,VampB_SP,spray,15,1,850.00,850.00,paid,
INV-0090,2026-06-27,Fair3,Davidoff Cool Water,DavCoo,roll-on,3.5,1,140.00,140.00,paid,
INV-0068,2026-06-27,Fair2,Fantasy,Fant,roll-on,3.5,1,120.00,120.00,paid,
INV-0082,2026-06-27,Fair3,Vampire B.,VampB,roll-on,3.5,1,160.00,160.00,paid,
INV-0127,2026-06-27,Fair3,Chanel chance,ChaCha,roll-on,3.5,1,140.00,140.00,paid,
INV-0066,2026-06-27,Fair2,LOST Cherry,LostChe,roll-on,3.5,1,120.00,120.00,paid,
INV-0093,2026-06-27,Fair3,Vampire B.,VampB,roll-on,3.5,1,170.00,170.00,paid,
INV-0089,2026-06-27,Fair3,Davidoff Cool Water,DavCoo,roll-on,3.5,1,140.00,140.00,paid,
INV-0081,2026-06-27,Fair3,Vanila,Vanil,roll-on,3.5,1,150.00,150.00,paid,
INV-0065,2026-06-27,Fair2,Vampire B.,VampB,roll-on,3.5,1,170.00,170.00,paid,
INV-0427,2026-06-27,December,Good Girl Spray,GooGir_SP,spray,6,1,200.00,200.00,paid,
INV-0423,2026-06-27,December,Ultra male,UltMal,roll-on,3.5,1,65.00,65.00,paid,
INV-0435,2026-06-27,December,Vampire B.,VampB,roll-on,6,1,250.00,250.00,paid,
INV-0429,2026-06-27,December,Prada Candy Spray,PRCn_SP,spray,6,1,200.00,200.00,paid,
INV-0419,2026-06-27,December,Dior Sauvage Spray,DioSau_SP,spray,30,1,250.00,250.00,paid,
INV-0437,2026-06-27,December,Vampire B.,VampB,roll-on,3.5,1,150.00,150.00,paid,
INV-0425,2026-06-27,December,White Oud,WO,roll-on,3.5,1,70.00,70.00,paid,
INV-0441,2026-06-27,December,Dunhil desire,DunDes,roll-on,3.5,1,100.00,100.00,paid,
INV-0421,2026-06-27,December,Davidoff Cool Water Spray,DavCoo_SP,spray,6,1,100.00,100.00,paid,
INV-0433,2026-06-27,December,CK-1,CK1,roll-on,6,1,230.00,230.00,paid,
INV-0414,2026-06-27,December,Vampire B.,VampB,roll-on,15,1,600.00,600.00,paid,
INV-0417,2026-06-27,December,Vampire B.,VampB,roll-on,6,1,250.00,250.00,paid,
INV-0438,2026-06-27,December,Versace EROS,VerEros,roll-on,3.5,1,100.00,100.00,paid,
INV-0428,2026-06-27,December,Burberry Her Spray,BurH_SP,spray,6,1,200.00,200.00,paid,
INV-0442,2026-06-27,December,Fogg,Fgg,roll-on,3.5,1,100.00,100.00,paid,
INV-0426,2026-06-27,December,Dunhill Icon,DunIco,roll-on,3.5,1,75.00,75.00,paid,
INV-0436,2026-06-27,December,Vampire B.,VampB,roll-on,6,1,250.00,250.00,paid,
INV-0424,2026-06-27,December,Hawas For Him,HFH,roll-on,3.5,1,70.00,70.00,paid,
INV-0444,2026-06-27,December,Versace EROS,VerEros,roll-on,15,1,160.00,160.00,paid,
INV-0422,2026-06-27,December,Versace EROS,VerEros,roll-on,3.5,1,60.00,60.00,paid,
INV-0434,2026-06-27,December,Blue de Chanel,BluCha,roll-on,6,1,250.00,250.00,paid,
INV-0420,2026-06-27,December,Dior Sauvage Spray,DioSau_SP,spray,6,1,100.00,100.00,paid,
INV-0440,2026-06-27,December,Dunhill Icon,DunIco,roll-on,3.5,1,150.00,150.00,paid,
INV-0418,2026-06-27,December,Vampire B.,VampB,roll-on,6,1,250.00,250.00,paid,
INV-0432,2026-06-27,December,Hawas For Him,HFH,roll-on,3.5,1,65.00,65.00,paid,
INV-0430,2026-06-27,December,Dunhill Icon,DunIco,roll-on,3.5,1,75.00,75.00,paid,
INV-0416,2026-06-27,December,Creed Aventus,CreAve,roll-on,6,1,250.00,250.00,paid,
INV-0413,2026-06-27,December,Dior Sauvage,DioSau,roll-on,15,1,550.00,550.00,paid,
INV-0443,2026-06-27,December,Hawas For Him,HFH,roll-on,3.5,1,150.00,150.00,paid,
INV-0439,2026-06-27,December,White Oud,WO,roll-on,3.5,1,100.00,100.00,paid,
INV-0431,2026-06-27,December,Diptyque tam dao,DipTam,roll-on,3.5,1,85.00,85.00,paid,
INV-0415,2026-06-27,December,Dior Sauvage Spray,DioSau_SP,spray,30,1,400.00,400.00,paid,
INV-0395,2026-06-27,Online,Dunhil desire,DunDes,roll-on,3.5,1,120.00,120.00,paid,
INV-0391,2026-06-27,November,Ahsas al Arabia,AhsAra,roll-on,6,1,70.00,70.00,paid,
INV-0403,2026-06-27,Online,Ultra male,UltMal,roll-on,3.5,1,150.00,150.00,paid,
INV-0397,2026-06-27,Online,Dunhil desire,DunDes,roll-on,3.5,1,120.00,120.00,paid,
INV-0387,2026-06-27,November,Prada Candy,PRCn,roll-on,3.5,1,70.00,70.00,paid,
INV-0405,2026-06-27,Online,Ameer Al oud,AmeOud,roll-on,3.5,1,150.00,150.00,paid,
INV-0393,2026-06-27,November,Fogg,Fgg,roll-on,3.5,1,50.00,50.00,paid,
INV-0409,2026-06-27,December,Creed absolute Spray,CreAbs_SP,spray,15,1,850.00,850.00,paid,
INV-0389,2026-06-27,November,Dior Sauvage,DioSau,roll-on,3.5,1,70.00,70.00,paid,
INV-0401,2026-06-27,Online,Dunhil desire,DunDes,roll-on,3.5,1,150.00,150.00,paid,
INV-0382,2026-06-27,November,Burberry Her,BurH,roll-on,3.5,1,75.00,75.00,paid,
INV-0385,2026-06-27,November,LOST Cherry,LostChe,roll-on,3.5,1,55.00,55.00,paid,
INV-0406,2026-06-27,December,Vampire B.,VampB,roll-on,3.5,1,200.00,200.00,paid,
INV-0396,2026-06-27,Online,Dunhil desire,DunDes,roll-on,3.5,1,120.00,120.00,paid,
INV-0410,2026-06-27,December,Dunhill Icon,DunIco,roll-on,6,1,250.00,250.00,paid,
INV-0394,2026-06-27,November,Vampire B.,VampB,roll-on,3.5,1,200.00,200.00,paid,
INV-0404,2026-06-27,Online,Armanis.w.y,ArmWy,roll-on,3.5,1,150.00,150.00,paid,
INV-0392,2026-06-27,November,White Oud,WO,roll-on,6,1,70.00,70.00,paid,
INV-0412,2026-06-27,December,CK-1,CK1,roll-on,15,1,400.00,400.00,paid,
INV-0390,2026-06-27,November,Ameer Al oud,AmeOud,roll-on,6,1,70.00,70.00,paid,
INV-0402,2026-06-27,Online,Versace EROS,VerEros,roll-on,3.5,1,150.00,150.00,paid,
INV-0388,2026-06-27,November,Hawas For Him,HFH,roll-on,3.5,1,180.00,180.00,paid,
INV-0408,2026-06-27,December,Creed absolute,CreAbs,roll-on,6,1,400.00,400.00,paid,
INV-0386,2026-06-27,November,Blue berry,BluBer,roll-on,3.5,1,75.00,75.00,paid,
INV-0400,2026-06-27,Online,victoriya secret Spray,VicSec_SP,spray,15,1,830.00,830.00,paid,
INV-0398,2026-06-27,Online,Dunhil desire,DunDes,roll-on,3.5,1,120.00,120.00,paid,
INV-0384,2026-06-27,November,Vanila,Vanil,roll-on,3.5,1,50.00,50.00,paid,
INV-0445,2026-06-27,December,Dior Sauvage Spray,DioSau_SP,spray,6,1,100.00,100.00,paid,
INV-0411,2026-06-27,December,Dunhill Icon Spray,DunIco_SP,spray,15,1,700.00,700.00,paid,
INV-0407,2026-06-27,December,victoriya secret Spray,VicSec_SP,spray,6,1,330.00,330.00,paid,
INV-0399,2026-06-27,Online,Dunhil desire,DunDes,roll-on,3.5,1,120.00,120.00,paid,
INV-0383,2026-06-27,November,Good Girl,GooGir,roll-on,3.5,1,75.00,75.00,paid,
INV-0490,2026-06-27,December,Paris Hilton,ParHil,roll-on,6,1,220.00,220.00,paid,
INV-0486,2026-06-27,December,Vampire B.,VampB,roll-on,3.5,1,200.00,200.00,paid,
INV-0498,2026-06-27,December,Creed absolute Spray,CreAbs_SP,spray,15,1,850.00,850.00,paid,
INV-0492,2026-06-27,December,Blue berry,BluBer,roll-on,3.5,1,100.00,100.00,paid,
INV-0482,2026-06-27,December,Dunhill Icon,DunIco,roll-on,6,1,300.00,300.00,paid,
INV-0500,2026-06-27,December,Vampire B.,VampB,roll-on,3.5,1,150.00,150.00,paid,
INV-0488,2026-06-27,December,Vampire B.,VampB,roll-on,6,1,250.00,250.00,paid,
INV-0504,2026-06-27,December,Fantasy,Fant,roll-on,6,1,250.00,250.00,paid,
INV-0484,2026-06-27,December,Dior Sauvage Spray,DioSau_SP,spray,30,1,350.00,350.00,due,
INV-0496,2026-06-27,December,Davidoff Cool Water Spray,DavCoo_SP,spray,15,1,750.00,750.00,paid,
INV-0477,2026-06-27,December,Hawas For Him,HFH,roll-on,6,1,300.00,300.00,paid,
INV-0480,2026-06-27,December,Vanila,Vanil,roll-on,3.5,1,180.00,180.00,paid,
INV-0501,2026-06-27,December,Creed Aventus,CreAve,roll-on,3.5,1,150.00,150.00,paid,
INV-0491,2026-06-27,December,White Oud,WO,roll-on,3.5,1,100.00,100.00,paid,
INV-0505,2026-06-27,December,Davidoff Cool Water,DavCoo,roll-on,15,1,750.00,750.00,paid,
INV-0489,2026-06-27,December,Ultra male,UltMal,roll-on,6,1,220.00,220.00,paid,
INV-0499,2026-06-27,December,SRK Spray,SR_SP,spray,15,1,950.00,950.00,paid,
INV-0487,2026-06-27,December,Ahsas al Arabia,AhsAra,roll-on,15,1,360.00,360.00,paid,
INV-0507,2026-06-27,December,Armanis.w.y Spray,ArmWy_SP,spray,30,1,1000.00,1000.00,paid,
INV-0485,2026-06-27,December,CK-1 Spray,CK1_SP,spray,30,1,250.00,250.00,paid,
INV-0497,2026-06-27,December,Creed absolute Spray,CreAbs_SP,spray,15,1,850.00,850.00,paid,
INV-0483,2026-06-27,December,Dior Sauvage,DioSau,roll-on,6,1,270.00,270.00,paid,
INV-0503,2026-06-27,December,Fantasy,Fant,roll-on,6,1,250.00,250.00,paid,
INV-0481,2026-06-27,December,Chocolate,CoCo,roll-on,3.5,1,180.00,180.00,paid,
INV-0495,2026-06-27,December,Davidoff Cool Water Spray,DavCoo_SP,spray,6,1,250.00,250.00,paid,
INV-0493,2026-06-27,December,Good Girl,GooGir,roll-on,3.5,1,100.00,100.00,paid,
INV-0479,2026-06-27,December,Ahsas al Arabia,AhsAra,roll-on,3.5,1,150.00,150.00,paid,
INV-0476,2026-06-27,December,Hawas For Him,HFH,roll-on,3.5,1,150.00,150.00,paid,
INV-0506,2026-06-27,December,Dior Sauvage,DioSau,roll-on,6,1,270.00,270.00,paid,
INV-0502,2026-06-27,December,Burberry Her,BurH,roll-on,6,1,300.00,300.00,paid,
INV-0494,2026-06-27,December,Davidoff Cool Water,DavCoo,roll-on,3.5,1,100.00,100.00,paid,
INV-0478,2026-06-27,December,Vampire B.,VampB,roll-on,3.5,1,200.00,200.00,paid,
INV-0458,2026-06-27,December,Versace EROS Spray,VerEros_SP,spray,100,1,1500.00,1500.00,paid,
INV-0454,2026-06-27,December,LOST Cherry Spray,LostChe_SP,spray,6,1,60.00,60.00,paid,
INV-0466,2026-06-27,December,Ultra male,UltMal,roll-on,3.5,1,150.00,150.00,paid,
INV-0460,2026-06-27,December,SRK Spray,SR_SP,spray,50,1,1500.00,1500.00,paid,
INV-0450,2026-06-27,December,Vampire B.,VampB,roll-on,6,1,250.00,250.00,paid,
INV-0468,2026-06-27,December,Hawas For Him Spray,HFH_SP,spray,6,1,250.00,250.00,paid,
INV-0456,2026-06-27,December,Dior Sauvage Spray,DioSau_SP,spray,30,1,250.00,250.00,paid,
INV-0472,2026-06-27,December,Vampire B.,VampB,roll-on,6,1,250.00,250.00,paid,
INV-0452,2026-06-27,December,Dunhill Icon,DunIco,roll-on,6,1,300.00,300.00,paid,
INV-0464,2026-06-27,December,Gucci Flora Spray,GucFla_SP,spray,6,1,250.00,250.00,paid,
INV-0461,2026-06-27,December,Hawas For Him,HFH,roll-on,6,1,310.00,310.00,paid,
INV-0448,2026-06-27,December,Hawas For Him,HFH,roll-on,6,1,330.00,330.00,paid,
INV-0469,2026-06-27,December,Vampire B.,VampB,roll-on,6,1,250.00,250.00,paid,
INV-0459,2026-06-27,December,Armanis.w.y Spray,ArmWy_SP,spray,6,1,230.00,230.00,paid,
INV-0473,2026-06-27,December,Vampire B.,VampB,roll-on,3.5,1,150.00,150.00,paid,
INV-0457,2026-06-27,December,Diptyque tam dao Spray,DipTam_SP,spray,30,1,320.00,320.00,paid,
INV-0467,2026-06-27,December,Armanis.w.y Spray,ArmWy_SP,spray,50,1,1120.00,1120.00,paid,
INV-0455,2026-06-27,December,Armanis.w.y Spray,ArmWy_SP,spray,30,1,180.00,180.00,paid,
INV-0475,2026-06-27,December,Vampire B.,VampB,roll-on,3.5,1,150.00,150.00,paid,
INV-0453,2026-06-27,December,Luxe Special Spray,LUXE1_SP,spray,15,1,130.00,130.00,paid,
INV-0465,2026-06-27,December,Hawas For Him,HFH,roll-on,6,1,300.00,300.00,paid,
INV-0451,2026-06-27,December,Vampire B.,VampB,roll-on,6,1,250.00,250.00,paid,
INV-0471,2026-06-27,December,Vampire B.,VampB,roll-on,6,1,250.00,250.00,paid,
INV-0449,2026-06-27,December,Vampire B.,VampB,roll-on,6,1,250.00,250.00,paid,
INV-0463,2026-06-27,December,Good Girl Spray,GooGir_SP,spray,6,1,280.00,280.00,paid,
INV-0381,2026-06-27,November,Chanel chance,ChaCha,roll-on,3.5,1,75.00,75.00,paid,
INV-0447,2026-06-27,December,Vampire B.,VampB,roll-on,6,1,270.00,270.00,paid,
INV-0474,2026-06-27,December,Vampire B.,VampB,roll-on,3.5,1,150.00,150.00,paid,
INV-0470,2026-06-27,December,Vampire B.,VampB,roll-on,6,1,250.00,250.00,paid,
INV-0462,2026-06-27,December,LOST Cherry Spray,LostChe_SP,spray,6,1,280.00,280.00,paid,
INV-0446,2026-06-27,December,CK-1,CK1,roll-on,6,1,230.00,230.00,paid,
INV-0300,2026-06-27,September,Vampire B.,VampB,roll-on,3.5,1,170.00,170.00,paid,
INV-0296,2026-06-27,September,Fantasy,Fant,roll-on,3.5,1,100.00,100.00,paid,
INV-0308,2026-06-27,September,Blue de Chanel,BluCha,roll-on,3.5,1,150.00,150.00,paid,
INV-0302,2026-06-27,September,Creed Aventus,CreAve,roll-on,3.5,1,110.00,110.00,paid,
INV-0292,2026-06-27,September,Blue de Chanel,BluCha,roll-on,3.5,1,150.00,150.00,paid,
INV-0310,2026-06-27,September,Fantasy,Fant,roll-on,6,1,250.00,250.00,paid,
INV-0298,2026-06-27,September,Gucci Flora,GucFla,roll-on,3.5,1,100.00,100.00,paid,
INV-0314,2026-06-27,September,victoriya secret Spray,VicSec_SP,spray,6,1,310.00,310.00,paid,
INV-0294,2026-06-27,September,Versace EROS,VerEros,roll-on,3.5,1,100.00,100.00,paid,
INV-0306,2026-06-27,September,Ultra male,UltMal,roll-on,3.5,1,110.00,110.00,paid,
INV-0287,2026-06-27,September,Versace EROS,VerEros,roll-on,3.5,1,110.00,110.00,paid,
INV-0290,2026-06-27,September,CK-1,CK1,roll-on,3.5,1,110.00,110.00,paid,
INV-0311,2026-06-27,September,Dunhil desire,DunDes,roll-on,6,1,250.00,250.00,paid,
INV-0301,2026-06-27,September,Davidoff Cool Water,DavCoo,roll-on,3.5,1,110.00,110.00,paid,
INV-0315,2026-06-27,September,Ultra male,UltMal,roll-on,3.5,1,100.00,100.00,paid,
INV-0299,2026-06-27,September,Blue berry,BluBer,roll-on,3.5,1,110.00,110.00,paid,
INV-0309,2026-06-27,September,Dior Sauvage,DioSau,roll-on,3.5,1,150.00,150.00,paid,
INV-0297,2026-06-27,September,Blue berry,BluBer,roll-on,3.5,1,100.00,100.00,paid,
INV-0317,2026-06-27,September,Red Tobaco,RedTob,roll-on,3.5,1,120.00,120.00,paid,
INV-0295,2026-06-27,September,LOST Cherry,LostChe,roll-on,3.5,1,100.00,100.00,paid,
INV-0307,2026-06-27,September,CK-1,CK1,roll-on,3.5,1,110.00,110.00,paid,
INV-0293,2026-06-27,September,Dior Sauvage,DioSau,roll-on,3.5,1,150.00,150.00,paid,
INV-0313,2026-06-27,September,Good Girl Spray,GooGir_SP,spray,6,1,310.00,310.00,paid,
INV-0291,2026-06-27,September,CK-1,CK1,roll-on,3.5,1,110.00,110.00,paid,
INV-0305,2026-06-27,September,Armanis.w.y,ArmWy,roll-on,3.5,1,110.00,110.00,paid,
INV-0303,2026-06-27,September,Dunhil desire,DunDes,roll-on,3.5,1,110.00,110.00,paid,
INV-0289,2026-06-27,September,Ultra male,UltMal,roll-on,3.5,1,110.00,110.00,paid,
INV-0286,2026-06-27,September,Dunhil desire,DunDes,roll-on,3.5,1,110.00,110.00,paid,
INV-0316,2026-06-27,September,Vanila,Vanil,roll-on,6,1,250.00,250.00,paid,
INV-0312,2026-06-27,September,Dior Sauvage,DioSau,roll-on,6,1,250.00,250.00,paid,
INV-0304,2026-06-27,September,Versace EROS,VerEros,roll-on,3.5,1,110.00,110.00,paid,
INV-0288,2026-06-27,September,Armanis.w.y,ArmWy,roll-on,3.5,1,110.00,110.00,paid,
INV-0268,2026-06-27,August,Blue berry,BluBer,roll-on,3.5,1,110.00,110.00,paid,
INV-0264,2026-06-27,August,Blue de Chanel,BluCha,roll-on,3.5,1,140.00,140.00,paid,
INV-0276,2026-06-27,August,Good Girl Spray,GooGir_SP,spray,6,1,310.00,310.00,paid,
INV-0270,2026-06-27,August,Dunhil desire,DunDes,roll-on,3.5,1,120.00,120.00,paid,
INV-0260,2026-06-27,August,Dior Sauvage,DioSau,roll-on,3.5,1,140.00,140.00,paid,
INV-0278,2026-06-27,August,Ultra male,UltMal,roll-on,6,1,250.00,250.00,paid,
INV-0266,2026-06-27,August,Vampire B.,VampB,roll-on,3.5,1,160.00,160.00,paid,
INV-0282,2026-06-27,September,Dunhil desire,DunDes,roll-on,3.5,1,110.00,110.00,paid,
INV-0262,2026-06-27,August,Armanis.w.y,ArmWy,roll-on,3.5,1,110.00,110.00,paid,
INV-0274,2026-06-27,August,SRK,SR2,roll-on,6,1,320.00,320.00,paid,
INV-0255,2026-06-27,August,Dunhil desire Spray,DunDes_SP,spray,15,1,700.00,700.00,paid,
INV-0258,2026-06-27,August,Vampire B.,VampB,roll-on,3.5,1,170.00,170.00,paid,
INV-0279,2026-06-27,September,Versace EROS,VerEros,roll-on,15,1,600.00,600.00,paid,
INV-0269,2026-06-27,August,Good Girl Spray,GooGir_SP,spray,6,1,330.00,330.00,paid,
INV-0283,2026-06-27,September,Versace EROS,VerEros,roll-on,3.5,1,110.00,110.00,paid,
INV-0267,2026-06-27,August,Davidoff Cool Water,DavCoo,roll-on,3.5,1,110.00,110.00,paid,
INV-0277,2026-06-27,August,Dior Sauvage,DioSau,roll-on,3.5,1,150.00,150.00,paid,
INV-0265,2026-06-27,August,Blue berry,BluBer,roll-on,3.5,1,100.00,100.00,paid,
INV-0285,2026-06-27,September,Ultra male,UltMal,roll-on,3.5,1,110.00,110.00,paid,
INV-0263,2026-06-27,August,Dior Sauvage,DioSau,roll-on,3.5,1,140.00,140.00,paid,
INV-0275,2026-06-27,August,Gucci Flora Spray,GucFla_SP,spray,6,1,300.00,300.00,paid,
INV-0261,2026-06-27,August,Versace EROS,VerEros,roll-on,3.5,1,110.00,110.00,paid,
INV-0281,2026-06-27,September,Ultra male,UltMal,roll-on,6,1,230.00,230.00,paid,
INV-0259,2026-06-27,August,Dior Sauvage,DioSau,roll-on,3.5,1,140.00,140.00,paid,
INV-0273,2026-06-27,August,victoriya secret,VicSec,roll-on,3.5,1,150.00,150.00,paid,
INV-0271,2026-06-27,August,Creed Aventus,CreAve,roll-on,3.5,1,120.00,120.00,paid,
INV-0257,2026-06-27,August,Blue de Chanel Spray,BluCha_SP,spray,6,1,300.00,300.00,paid,
INV-0318,2026-06-27,September,Vampire B.,VampB,roll-on,3.5,1,170.00,170.00,paid,
INV-0284,2026-06-27,September,Armanis.w.y,ArmWy,roll-on,3.5,1,110.00,110.00,paid,
INV-0280,2026-06-27,September,Davidoff Cool Water Spray,DavCoo_SP,spray,15,1,600.00,600.00,paid,
INV-0272,2026-06-27,August,LOST Cherry,LostChe,roll-on,3.5,1,120.00,120.00,paid,
INV-0256,2026-06-27,August,Dior Sauvage Spray,DioSau_SP,spray,6,1,300.00,300.00,paid,
INV-0363,2026-06-27,October,Paris Hilton,ParHil,roll-on,3.5,1,120.00,120.00,paid,
INV-0359,2026-06-27,October,Diptyque tam dao,DipTam,roll-on,6,1,300.00,300.00,paid,
INV-0371,2026-06-27,October,Davidoff Cool Water Spray,DavCoo_SP,spray,6,1,300.00,300.00,paid,
INV-0365,2026-06-27,October,Pure Seduction,PuSD,roll-on,3.5,1,150.00,150.00,paid,
INV-0355,2026-06-27,October,Baccarat rouge,BacRou,roll-on,6,1,250.00,250.00,paid,
INV-0373,2026-06-27,November,Dunhill Icon,DunIco,roll-on,3.5,1,75.00,75.00,paid,
INV-0361,2026-06-27,October,Fantasy Spray,Fant_SP,spray,6,1,270.00,270.00,paid,
INV-0377,2026-06-27,November,Blue de Chanel,BluCha,roll-on,3.5,1,170.00,170.00,paid,
INV-0357,2026-06-27,October,Dunhill Icon,DunIco,roll-on,3.5,1,160.00,160.00,paid,
INV-0369,2026-06-27,October,Diptyque tam dao,DipTam,roll-on,3.5,1,150.00,150.00,paid,
INV-0350,2026-06-27,October,Vampire B.,VampB,roll-on,3.5,1,170.00,170.00,paid,
INV-0353,2026-06-27,October,Red Tobaco,RedTob,roll-on,6,1,240.00,240.00,paid,
INV-0374,2026-06-27,November,CK-1,CK1,roll-on,6,1,230.00,230.00,paid,
INV-0364,2026-06-27,October,LOST Cherry,LostChe,roll-on,3.5,1,110.00,110.00,paid,
INV-0378,2026-06-27,November,Paris Hilton,ParHil,roll-on,6,1,260.00,260.00,paid,
INV-0362,2026-06-27,October,Good Girl Spray,GooGir_SP,spray,6,1,250.00,250.00,paid,
INV-0372,2026-06-27,November,Dunhill Icon,DunIco,roll-on,3.5,1,75.00,75.00,paid,
INV-0360,2026-06-27,October,Vampire B.,VampB,roll-on,3.5,1,150.00,150.00,paid,
INV-0380,2026-06-27,November,Paris Hilton,ParHil,roll-on,3.5,1,50.00,50.00,paid,
INV-0358,2026-06-27,October,Luxe Special Spray,LUXE1_SP,spray,15,1,800.00,800.00,paid,
INV-0370,2026-06-27,October,Ultra male,UltMal,roll-on,6,1,250.00,250.00,paid,
INV-0356,2026-06-27,October,Vampire B.,VampB,roll-on,3.5,1,160.00,160.00,paid,
